cuisine,recepies,ingredients
Continental,"Millet Cottage Cheese Fritters Recipe-Flavored With  Za'atar,","['brown bread', ' butter', ' paneer cottage cheese', ' millet cooked', ' coriander', ' za atar', ' salt', ' sesame seeds til']"
North Indian Recipes,Shakarkandi Ke Gulab Jamun Recipe (Sweet Potato Gulab Jamun),"['potato mashed', ' all purpose flour', ' cardamom powder', ' salt', ' sugar', ' ghee', ' water', ' sugar', ' water', ' saffron strands']"
North Indian Recipes,Kadai Chicken Recipe - Chicken Cooked With Onion And Capsicum,"['chicken', ' onion', ' onion', ' green bell pepper capsicum', ' cumin seeds', ' red chilli', ' ginger', ' garlic', ' tomato puree', ' red chilli powder', ' turmeric powder haldi', ' garam masala powder', ' cream', ' salt', ' coriander', ' sunflower oil']"
Italian Recipes,Burnt Garlic Pasta with Mushroom Recipe,"['pasta wheat', ' salt', ' extra virgin olive oil', ' water', ' onion', ' garlic flakes', ' mushrooms', ' cauliflower', ' milk', ' salt', ' black pepper powder', ' oregano', ' parmesan cheese', ' butter', ' extra virgin olive oil', ' water boiling pasta']"
Continental,Pineapple Carpaccio Recipe - Spiced Pineapple Salad with Ginger & Mint,"['pineapple', ' sea salt', ' mint leaves', ' fruits like pomegranate', ' extra virgin olive oil', ' orange juice', ' lemon juice lemon', ' honey', ' red chilli', ' ginger']"
Continental,Sweet Potato & Green Bean Salad Recipe,"['sweet', ' cherry tomatoes', ' beans', ' onion', ' chilli', ' extra virgin olive oil', ' lemon juice', ' salt and pepper']"
North Indian Recipes,Shikampuri Kebab Recipe - Kebabs made with Brown Chickpeas,"['chana brown chickpeas', ' aloo boiled mashed', ' ginger', ' garlic', ' green chillies', ' red chilli powder', ' dry mango powder', ' coriander powder', ' garam masala powder', ' black pepper powder', ' salt', ' coriander', ' lemon juice', ' flour', ' sunflower oil', ' hung']"
Continental,Healthy Black Bean Burger Recipe Without Bun,"['black beans cooked', ' brown rice cooked', ' onion', ' coriander', ' wheat bread crumbs', ' walnuts roasted', ' cumin powder', ' jaggery sugar', ' red chilli powder', ' pickled jalapenos pickled', ' tomato ketchup', ' red chilli sauce', ' maple syrup', ' apple cider vinegar', ' black pepper powder', ' salt', ' extra virgin olive oil', ' pineapple', ' beetroot', ' onion', ' tomato', ' black olives', ' lettuce', ' avocado ripened', ' lemon juice']"
South Indian Recipes,Chettinad Poondu Rasam Recipe | Spicy Garlic Rasam,"['arhar dal', ' tamarind soaked', ' tomatoes', ' ghee', ' mustard seeds', ' cumin seeds', ' asafoetida hing', ' garlic', ' curry leaves', ' turmeric powder', ' black pepper powder', ' cumin powder', ' coriander dhania powder', ' red chilli powder', ' salt', ' sugar', ' coriander dhania']"
South Indian Recipes,Bonda Mor Kuzhambu Recipe,"['curd dahi yogurt', ' arhar dal', ' coriander dhania seeds', ' coconut', ' ginger', ' red chillies', ' curry leaves', ' mustard seeds', ' chana dal', ' sunflower oil', ' salt', ' white', ' ginger', ' green chilli', ' salt', ' sunflower oil']"
Italian Recipes,Spinach Cottage Cheese Cannelloni in Roasted Pepper Sauce Recipe,"['garlic', ' onion', ' green bell pepper capsicum', ' sunflower oil', ' butter', ' tomato pureed', ' basil leaves', ' red chilli flakes', ' salt', ' cream', ' garlic', ' onion', ' spinach', ' paneer cottage cheese', ' red chilli flakes', ' salt and pepper salt']"
North Indian Recipes,Lahsuni Paneer Recipe - Paneer Flavoured With Garlic,"['paneer cottage cheese', ' garlic', ' red chillies', ' vinegar', ' sugar', ' salt', ' onion', ' cumin seeds', ' sunflower oil', ' coriander dhania']"
South Indian Recipes,Kandathippili Rasam Recipe - Long Pepper Rasam,"['tomato', ' garlic', ' green chilli slit', ' curry leaves', ' coriander', ' tamarind water', ' asafoetida hing', ' mustard seeds', ' sunflower oil', ' salt', ' pepper', ' cumin seeds', ' curry leaves', ' garlic']"
Indian,Aloo Chaat Recipe With Baked Beans - Roz Ka Khana With Figaro Olive Oil,"['brown bread', ' baked beans', ' aloo boiled mashed', ' cumin powder', ' onions', ' green chillies', ' chaat masala', ' coriander', ' sev topping', ' green chutney coriander mint', ' sweet chutney tamarind', ' powder pomegranate seed powder', ' salt', ' extra virgin olive oil']"
South Indian Recipes,Soft Masala Dosa With Red Chutney Recipe,"['idli dosa batter', ' sunflower oil', ' chaat masala powder', ' potato masala', ' lahsun ki chutney red garlic', ' potatoes aloo mashed', ' onion', ' ginger', ' green chillies', ' turmeric powder haldi', ' curry leaves', ' coriander', ' salt']"
Indian,"Sweet Potato, Broccoli And Tofu Curry Recipe","['broccoli', ' sweet potato', ' tofu', ' kala', ' salt', ' onion', ' tomatoes', ' ginger', ' garlic', ' green chilli', ' cashew nuts', ' cumin powder', ' turmeric powder', ' red chilli powder', ' garam masala powder']"
South Indian Recipes,Capsicum Masala Poriyal Recipe (South Indian Style Bell Pepper Stir Fry),"['sunflower oil', ' mustard seeds', ' bell', ' onion', ' curry leaves', ' salt', ' roasted peanuts', ' coconut', ' red chillies', ' garlic cloves', ' cumin seeds', ' coriander']"
Continental,Cumin Spiced Potato And Leek Soup Recipe,"['aloo', ' leek', ' onions', ' vegetable stock', ' water', ' cumin seeds', ' red chilli flakes', ' extra virgin olive oil', ' salt']"
Indian,Cheesy Potato Peas Potli Recipe,"['vivatta maida', ' sunflower oil', ' salt', ' water', ' carom seeds', ' baking soda', ' aloo boiled', ' green peas', ' onion', ' cheese', ' chilli', ' ginger', ' methi dried', ' cumin seeds', ' dry mango powder', ' turmeric powder', ' red chilli powder', ' garam masala powder', ' coriander powder', ' coriander', ' salt', ' sunflower oil']"
South Indian Recipes,Pudina Rice Recipe,"['rice', ' mint leaves', ' green chillies', ' tamarind paste', ' onion', ' sunflower oil', ' mustard seeds', ' white urad', ' salt']"
Continental,Sugar Free Pineapple Dates Cake Recipe,"['all purpose flour', ' pineapple', ' seedless', ' water', ' baking soda', ' eggs', ' vanilla extract', ' salted butter', ' raisins']"
North Indian Recipes,Kathal Masaledar Sabzi Recipe - Jackfruit Masala Sabzi,"['jackfruit', ' potatoes aloo', ' onions', ' asafoetida hing', ' bay leaf', ' garlic', ' ginger', ' curd dahi yogurt', ' cinnamon stick', ' black cardamom', ' coriander powder', ' cumin powder', ' garam masala powder', ' red chilli powder', ' tomato puree', ' mustard oil', ' salt', ' coriander dhania']"
North Indian Recipes,Delicious Breakfast Anda Ghotala Recipe With Butter Pav,"['butter', ' cumin seeds', ' garlic', ' chilli', ' onions', ' salt', ' turmeric powder', ' red chilli powder', ' coriander powder', ' tomatoes', ' pav bhaji masala', ' cumin powder', ' egg', ' butter', ' eggs', ' salt', ' pav bhaji', ' coriander', ' pav bhaji', ' coriander']"
North Indian Recipes,Achari Aloo Sabzi Recipe - Potatoes In Spicy Pickle Masala,"['aloo', ' asafoetida hing', ' cumin seeds', ' red chillies', ' style mango pickle', ' jaggery', ' mustard oil', ' onion', ' garlic', ' turmeric powder haldi', ' red chilli powder', ' garam masala powder', ' coriander', ' salt']"
Indian,Panjiri Ladoo Recipe,"['dry ginger powder', ' cumin seeds', ' seeds', ' coriander seeds', ' black peppercorns', ' fennel seeds', ' ghee', ' caster']"
North Indian Recipes,Palak Paneer Bhurji Recipe -Spiced Cottage Cheese Scramble With Spinach Recipe,"['paneer cottage cheese', ' spinach palak', ' green chillies', ' onion', ' tomato', ' garlic', ' cumin seeds', ' red chilli powder', ' garam masala powder', ' dry mango powder', ' butter', ' salt', ' sunflower oil']"
North Indian Recipes,Petha Wadi Sabzi Recipe,"['badi wadi', ' kaddu parangikai pumpkin', ' onions', ' tomatoes', ' ginger', ' garlic', ' green chillies', ' cumin seeds', ' red chilli powder', ' coriander powder', ' turmeric powder haldi', ' sunflower oil', ' salt', ' coriander']"
North Indian Recipes,Jain Style Dal Makhani Recipe,"['black urad', ' large kidney beans', ' cumin seeds', ' cinnamon stick', ' cloves', ' black cardamom', ' tomatoes pureed', ' chilli', ' red chilli powder', ' garam masala powder', ' ginger powder', ' ghee', ' milk', ' salt', ' ginger', ' cream']"
Continental,Canadian Egg Free Butter Tart Recipe (Eggless),"['all purpose flour', ' butter', ' salt', ' raisins', ' butter softened', ' brown sugar demerara sugar', ' corn flour', ' curd greek yogurt', ' vanilla extract', ' cinnamon powder', ' nutmeg powder']"
Continental,Beet Carrot and Apple Salad in Orange Mustard Vinaigrette Recipe,"['beetroot', ' carrot', ' walnuts', ' mint leaves', ' sesame seeds til seeds', ' orange juice', ' orange zest rind', ' lemon juice', ' mustard sauce', ' extra virgin olive oil', ' black pepper powder', ' salt']"
South Indian Recipes,"Bread, Paneer & Potato Instant Vada Recipe","['brown bread', ' curd dahi yogurt', ' rice flour', ' semolina', ' cottage cheese', ' potato aloo boiled mashed', ' cumin seeds', ' onion', ' ginger', ' coriander', ' green chillies', ' salt', ' sunflower oil']"
North Indian Recipes,Tamatar Wali Arbi Sabzi Recipe,"['colocasia', ' onion', ' tomatoes', ' garlic', ' tamarind lemon', ' red chilli powder', ' coriander powder', ' turmeric powder', ' garam masala powder', ' panch phoran', ' sunflower oil', ' coriander', ' salt']"
Indian,Achari Paratha Roll Recipe,"['wheat flour', ' salt', ' achari masala', ' aloo boiled', ' kaddu parangikai pumpkin', ' green peas', ' turmeric powder', ' red chilli powder', ' garam masala powder', ' salt', ' mustard seeds', ' asafoetida hing']"
Continental,Garlic Spinach Balls Recipe,"['spinach', ' garlic', ' onion', ' aloo boiled mashed', ' all purpose flour', ' red chilli powder', ' oregano', ' salt', ' sunflower oil']"
North Indian Recipes,Carrot Matar Paratha Recipe,"['wheat flour', ' water', ' salt', ' carrots', ' green peas steamed', ' onion', ' green chillies', ' coriander', ' seeds', ' coriander powder', ' red chilli powder', ' cumin powder', ' chaat masala powder', ' salt', ' ghee']"
Continental,Jalapeno Potato Cheese Balls Recipe With Four Pepper Cheese Dip,"['aloo mashed', ' britannia cheese', ' garlic', ' pickled jalapenos', ' parsley leaves', ' eggs', ' wheat bread crumbs', ' herbs dried', ' salt', ' sunflower oil', ' britannia cheese spread', ' curd yogurt', ' parsley leaves', ' salt']"
Continental,Banana-Almond Butter Bread Recipe,"['bananas', ' egg', ' sugar', ' almond butter', ' vivatta maida', ' almond meal', ' baking powder', ' baking soda', ' cinnamon powder', ' salt', ' vanilla extract almond', ' almonds badam', ' chocolate ganache chocolate']"
South Indian Recipes,Masala Akki Roti Recipe - Spicy Rice Flour Flatbread,"['rice flour', ' coconut', ' carrot', ' green bell pepper capsicum', ' dill leaves', ' cabbage patta', ' onion', ' ginger', ' green chillies', ' cumin seeds', ' asafoetida hing', ' salt', ' sunflower oil']"
Continental,Eggless Wholewheat And Custard Powder Coconut Cookies Recipe,"['whole wheat flour', ' custard powder', ' sunflower oil', ' dessicated coconut', ' vanilla extract', ' brown sugar demerara sugar powdered', ' salt', ' baking soda', ' baking powder', ' milk']"
Continental,Oats And Date Cookie Recipe,"['oats oatmeal', ' whole wheat flour', ' chopped', ' brown sugar demerara sugar', ' sunflower oil', ' baking powder', ' baking soda', ' vanilla extract']"
North Indian Recipes,Jowar Garlic Naan Recipe- Healthy Sorghum Naan,"['jowar flour sorghum', ' wheat flour', ' leaves fenugreek leaves', ' dry yeast', ' curd dahi yogurt', ' salt', ' sugar', ' garlic', ' ghee']"
North Indian Recipes,Kale Chane Ki Kadhi Recipe - Black Chickpea Kadhi,"['chana chickpeas', ' curd dahi yogurt', ' flour', ' turmeric powder', ' green chillies', ' curry leaves', ' water', ' salt', ' onion', ' sunflower oil', ' red chillies', ' cumin seeds', ' mustard seeds', ' salt']"
Italian Recipes,"Whole Wheat Pizza With Egg, Bell Peppers And Fresh Basil Recipe","['whole wheat', ' tomato', ' red bell pepper', ' basil leaves', ' parmesan cheese', ' mozzarella cheese', ' garlic salt', ' herbs dried', ' fresno pepper', ' extra virgin olive oil', ' eggs', ' and pasta sauce']"
South Indian Recipes,Potato Bonda Recipe Flavoured With Sambar Powder,"['sunflower oil', ' flour', ' corn flour', ' red chilli powder', ' garam masala powder', ' cooking soda', ' salt', ' aloo boiled', ' green peas matar', ' cumin seeds', ' mustard seeds', ' salt', ' sambar powder', ' coriander powder', ' red chilli powder', ' turmeric powder haldi', ' sunflower oil']"
Continental,Leftover Carrot Cake Mini Trifle Recipe,"['carrot cake', ' britannia cheese', ' butter unsalted', ' icing sugar', ' vanilla extract', ' all purpose flour', ' oats oatmeal', ' walnuts', ' sugar powdered', ' butter']"
Indian,Cabbage Besan Fry Recipe,"['cabbage patta', ' flour', ' ginger garlic paste', ' red chilli powder', ' coriander', ' salt', ' sunflower oil', ' water']"
Italian Recipes,Homemade Tagliatelle Pasta with Capers and Bell peppers Recipe,"['all purpose flour', ' whole wheat flour', ' egg', ' salt', ' extra virgin olive oil', ' garlic', ' red bell pepper capsicum', ' capers', ' red chilli flakes', ' oregano', ' thyme leaves', ' salt and pepper']"
South Indian Recipes,Paasi Paruppu Beans Poriyal Recipe - Moong Dal & French Beans Stir Fry,"['french', ' yellow moong', ' chilli', ' coconut', ' mustard seeds', ' red chillies', ' curry leaves', ' asafoetida', ' sunflower oil', ' salt']"
Continental,Buckwheat and Oatmeal Chocochip Pancakes Recipe (Eggless),"['buckwheat flour', ' oats flour', ' cocoa powder', ' flax seed powder flax', ' chocolate chips', ' salt', ' vanilla extract', ' maple syrup sugar', ' peanut butter', ' chocolate chips', ' fruits']"
Continental,Banana Cream Pie Recipe,"['bananas', ' cocoa powder', ' all purpose flour', ' butter', ' icing sugar', ' water', ' milk', ' egg', ' all purpose flour', ' corn flour', ' sugar', ' salt', ' vanilla extract', ' heavy whipping cream', ' icing sugar', ' vanilla extract']"
Indian,Raw Jackfruit Kofta Curry Recipe - Kathal Kofta Curry Recipe,"['jackfruit', ' all purpose flour', ' coconut', ' cardamom powder', ' raisins', ' green chilli', ' cumin powder', ' water', ' cinnamon', ' salt', ' sunflower oil', ' tomato', ' onions', ' water', ' ginger paste', ' turmeric powder', ' asafoetida hing', ' cumin seeds', ' red chilli powder', ' garam masala powder', ' sunflower oil', ' cream', ' coriander']"
Indian,Vegetable Biryani Recipe With Chatpata Aloo,"['basmati rice', ' water', ' onions', ' ginger', ' green chillies', ' garlic', ' sunflower oil', ' yellow bell', ' carrot', ' ghee', ' star anise', ' cloves', ' cinnamon stick', ' red chilli', ' bay leaves', ' black peppercorns', ' turmeric powder', ' black pepper powder', ' red chilli powder', ' cumin seeds', ' coriander dhania seeds', ' dry mango powder', ' salt', ' aloo', ' chaat masala powder', ' lemon lemon', ' black pepper powder', ' salt']"
North Indian Recipes,Farali Aaloo Pattice Recipe,"['sunflower oil', ' aloo boiled', ' arrowroot flour', ' coconut', ' roasted peanuts', ' lemon', ' green chillies', ' ginger', ' sugar', ' red chilli powder', ' salt']"
Indian,Lagan Ki Machli Recipe - Delicious Pomfret Curry,"['pomfret fish', ' ginger paste', ' garlic paste', ' salt', ' lemon juice', ' red chilli powder', ' turmeric powder', ' sunflower oil', ' cumin seeds', ' star anise', ' cinnamon stick', ' red chillies', ' onions', ' red chilli powder', ' garam masala powder', ' coriander powder', ' cumin powder', ' salt', ' tomato puree', ' curd dahi yogurt', ' coriander']"
Indian,North Arcot Special Greens Rava Puliyodharai Recipe - Broken Wheat / Dalia Puliogare,"['wheat', ' ghee', ' raw peanuts', ' cashew nuts', ' curry leaves', ' mustard seeds', ' puliodarai powder', ' salt']"
South Indian Recipes,Chow-Chow Kothamalli Chutney Recipe - Chayote Coriander Chutney,"['chow chayote squash diced', ' coriander', ' white urad', ' chana dal', ' tamarind', ' red chillies', ' sunflower oil', ' salt']"
North Indian Recipes,Dahi Baingan Recipe - Brinjal In Curd Based Gravy,"['brinjal baingan', ' onion', ' tomatoes', ' curd dahi yogurt', ' flour', ' coriander powder', ' red chilli powder', ' garam masala powder', ' fennel powder', ' turmeric powder', ' salt', ' red chillies', ' sesame seeds', ' coriander', ' sunflower oil', ' cumin seeds', ' mustard seeds', ' black urad', ' cloves', ' cardamom', ' bay leaf', ' cinnamon stick', ' curry leaves', ' ginger garlic paste']"
Continental,Chocolate Honeycomb Bun Recipe,"['milk lukewarm', ' dry yeast', ' sugar', ' all purpose flour', ' salt', ' butter melted', ' chocolate chips', ' water', ' honey', ' butter', ' saffron strands']"
Continental,Creamy Potato Egg Salad Recipe with Herbs,"['aloo boiled', ' eggs', ' onion', ' dill leaves', ' gherkins pickled', ' sour cream', ' black pepper powder', ' red chilli flakes', ' salt', ' lemon']"
North Indian Recipes,No Bake Rice Mawa Cake Recipe,"['poha flattened rice', ' sugar', ' khoya mawa', ' cardamom powder', ' saffron', ' milk warm', ' ghee', ' roughly']"
Continental,Egg and Cheesy Garlic Mayo Sandwich,"['brown bread', ' eggs', ' garlic mayo', ' mustard sauce', ' black pepper powder', ' lemon juice', ' salt and pepper', ' green romaine lettuce']"
Continental,Grapes Muffin Recipe,"['whole wheat flour or', ' sugar', ' baking powder', ' baking soda', ' salt', ' red seedless grapes', ' grapes puree', ' vanilla extract', ' vinegar', ' curd dahi yogurt', ' egg', ' butter melted', ' seedless grapes']"
Continental,Eggless Banana Pressure Cooker Cake Recipe,"['bananas robusta', ' sugar', ' sunflower oil', ' vanilla extract', ' all purpose flour', ' cinnamon powder', ' baking powder', ' baking soda', ' salt', ' milk', ' curd dahi yogurt']"
Continental,Vegan Cashew Mayonnaise Recipe,"['soaked', ' lemon juice', ' apple cider vinegar', ' garlic', ' mustard sauce', ' date syrup', ' salt', ' extra virgin olive oil', ' dill leaves']"
North Indian Recipes,Sour Sweet Gourd Curry Recipe - Tangy and Sweet Bottle Gourd Curry,"['gourd peel', ' turmeric powder', ' salt', ' mustard oil', ' mustard oil', ' asafoetida', ' fenugreek seeds', ' dali curry leaves', ' red chilli', ' onion goat', ' tomato', ' red chilli powder', ' turmeric powder', ' mango powder', ' powder', ' lemon juice lemon', ' coriander', ' oil', ' sunflower oil']"
North Indian Recipes,Raw Banana Cutlet Recipe - No Onion No Garlic Jain Cutlet,"['banana', ' coconut', ' green chillies', ' salt', ' cumin powder', ' black pepper powder', ' chaat masala', ' sunflower oil']"
Continental,Rose Buns With Stuffed Mushroom Recipe,"['vivatta maida', ' dry yeast', ' water', ' sugar', ' salt', ' sunflower oil', ' mushrooms', ' onion', ' ginger garlic paste', ' green chillies', ' turmeric powder', ' red chilli powder', ' sunflower oil', ' salt', ' coriander']"
Indian,Stuffed Chicken Recipe With Mixed Vegetables,"['chicken', ' tandoori masala', ' curd dahi yogurt', ' lemon juiced', ' salt', ' tomato puree', ' tomato ketchup', ' cream', ' red chilli powder', ' cashew nuts', ' salt', ' aloo boiled mashed', ' carrot', ' green peas', ' chaat masala', ' black pepper powder', ' coriander dhania', ' salt']"
Continental,Black Bean Soup With Mojo Recipe,"['black beans soaked', ' extra virgin olive oil', ' garlic', ' onion', ' tomato', ' green bell pepper capsicum', ' carrot', ' cumin powder', ' oregano', ' red chilli flakes', ' coriander', ' salt', ' lemon juice', ' orange juice', ' extra virgin olive oil', ' garlic', ' cumin powder', ' oregano', ' red chilli flakes', ' salt']"
Continental,Eggs Benedict With Caramelised Onion And Hollandaise Sauce Recipe,"['brown bread', ' butter softened', ' onions', ' salt', ' black pepper powder', ' eggs', ' egg', ' lemon juice', ' butter unsalted melted', ' red chilli powder', ' salt']"
Indian,Veggie Pearl Millet Tart Recipe,"['whole wheat flour', ' flour', ' baking powder', ' sugar', ' butter', ' sunflower oil', ' water', ' salt', ' cottage cheese', ' spinach', ' yellow and green bell', ' britannia cream cheese', ' oregano', ' black pepper powder', ' mozzarella cheese', ' red chilli flakes']"
North Indian Recipes,Bharwa Baingan Aur Pyaaz Ki Sabzi Recipe - Roz Ka Khana With Figaro Olive Oil,"['brinjal', ' onions', ' figaro pure olive oil', ' garlic', ' green chillies', ' ginger', ' red chilli powder', ' coriander powder', ' asafoetida hing', ' turmeric powder', ' jaggery', ' dry mango powder', ' salt']"
Continental,Skillet Potato And Eggs Recipe,"[' potatoes', ' garlic', ' onion', ' extra virgin olive oil', ' onion bulb greens', ' italian seasoning', ' eggs', ' parsley leaves', ' mozzarella cheese', ' salt and pepper']"
North Indian Recipes,Dahi Suran Ki Sabzi Recipe (Stir Fried Yam in Dry Yogurt Curry Recipe),"['elephant', ' curd dahi', ' cumin seeds', ' turmeric powder', ' red chilli powder', ' garam masala powder', ' dry mango powder', ' salt', ' sunflower oil', ' coriander']"
Continental,Delicious Spicy Chyawanprash Cookies Recipe,"['whole wheat flour', ' flax seed powder flax', ' butter', ' brown sugar demerara sugar', ' baking powder', ' water', ' dry ginger powder', ' salt', ' milk', ' caster sugar']"
Indian,Egg Stuffed Paratha Recipe,"['wheat flour', ' eggs', ' onion', ' green chillies', ' coriander dhania leaves', ' black pepper powder', ' sunflower oil', ' salt']"
Continental,Cucumber Sandwich With Yogurt Dill Spread Recipe,"['brown bread', ' cucumber', ' curd yogurt', ' oregano', ' red chilli flakes', ' thyme leaves', ' salt', ' dill leaves']"
North Indian Recipes,Palak Chole Recipe (Spinach & Chickpea Curry),"['kabuli chana white', ' spinach leaves', ' onion', ' tomato', ' green chilli slit', ' ginger', ' garlic', ' salt', ' garam masala powder', ' turmeric powder', ' red chilli powder', ' coriander powder', ' bay leaves', ' cardamom']"
North Indian Recipes,Tandoori Gobi Tikka Recipe - Tandoori Gobi Tikka Recipe,"['cabbage', ' curd', ' red chilli powder', ' masala powder', ' chaat masala', ' turmeric powder', ' coriander powder', ' celery', ' tsp fenugreek', ' flour', ' oil salt']"
South Indian Recipes,Chickpea Tamarind Broth Recipe - Tolerant South Indian Gala Sana Surri,"['chana brown chickpeas', ' tamarind', ' sambar powder', ' jaggery powdered', ' mustard seeds', ' seeds fenugreek seeds', ' sesame', ' coconut', ' curry leaves', ' salt', ' water']"
Indian,Matar Masala Recipe - Peas In Onion Tomato Gravy,"['green peas', ' sunflower oil', ' cumin seeds', ' turmeric powder', ' red chilli powder', ' coriander powder', ' leaves', ' salt', ' garam masala powder', ' onions', ' tomatoes', ' green chillies', ' garlic', ' ginger', ' cashew nuts', ' almond milk badam']"
North Indian Recipes,Aloo Gajar Matar Sabzi Recipe,"['aloo peeled', ' carrots', ' green peas matar steamed', ' tomatoes', ' onion', ' ginger', ' garlic', ' carom seeds', ' turmeric powder haldi', ' red chilli powder', ' coriander dhania powder', ' garam masala powder', ' salt', ' mustard oil', ' coriander dhania']"
Continental,Tangy Tomato Pie Tart Recipe,"['tomato', ' garlic', ' cheese', ' herbs dried', ' red chilli flakes', ' extra virgin olive oil', ' salt', ' all purpose flour', ' butter', ' salt', ' sugar', ' water']"
South Indian Recipes,Pudlangai Porial Recipe - Snake Gourd Porial Recipe,"['gourd', ' onion', ' green chillies', ' cumin powder', ' turmeric powder haldi', ' sunflower oil', ' mustard seeds', ' coconut', ' salt', ' curry leaves']"
Indian,Masala Karela Recipe - Masala Karela,"['gourd', ' salt', ' onion', ' flour', ' turmeric powder', ' red chilli powder', ' cumin seeds', ' coriander powder', ' amchoor powder', ' oil']"
Indian,Millet Potato Paratha Recipe,"['bajra flour', ' whole wheat flour', ' aloo mashed', ' fenugreek leaves', ' green chilli', ' ginger', ' red chilli powder', ' turmeric powder', ' cumin seeds', ' carom seeds', ' chaat masala powder', ' salt', ' lukewarm water', ' sunflower oil']"
Continental,Egg In A Biscuit Recipe,"['all purpose flour', ' sugar', ' baking powder', ' baking soda', ' butter chilled', ' cheese', ' coriander dhania', ' curd dahi yogurt', ' eggs']"
Indian,Baked Potato & Peas Samosa With Phyllo Pastry Recipe,"['onion', ' aloo boiled', ' green peas matar steamed', ' coriander powder', ' cinnamon powder', ' garam masala powder', ' dry mango powder', ' red chilli powder', ' sheets', ' sunflower oil', ' butter', ' salt']"
Continental,Eggless Baked Chocolate Chip Coins Recipe,"['whole wheat flour', ' vivatta maida', ' sugar', ' butter unsalted', ' chocolate chips', ' vanilla extract', ' baking soda', ' baking powder', ' milk', ' sunflower oil']"
South Indian Recipes,Carrot Lemon Rice Recipe,"['rice', ' carrot', ' sunflower oil', ' mustard seeds', ' chilli', ' white urad', ' curry leaves', ' lemon juice', ' dessicated coconut', ' turmeric powder haldi', ' salt']"
Continental,Whole Wheat Homemade English Muffins Recipe,"['all purpose flour', ' wheat flour', ' dry yeast', ' sugar', ' salt', ' butter melted', ' milk', ' corn meal']"
Italian Recipes,Roasted Vegetable Flan Recipe In Herbed Sauce,"['extra virgin olive oil', ' garlic', ' mushrooms', ' green peas matar steamed', ' carrots', ' sweet corn steamed', ' black pepper powder', ' paprika powder', ' nutmeg', ' vegetable stock', ' heavy whipping cream', ' butter', ' parmesan cheese', ' egg', ' parsley leaves', ' walnuts toasted', ' salt and pepper']"
Indian,Mushroom Biryani Recipe,"['basmati rice', ' mushrooms', ' onions', ' tomatoes', ' ginger', ' garlic', ' green chillies', ' coconut milk', ' coriander', ' red chilli powder', ' coriander powder', ' turmeric powder haldi', ' garam masala powder', ' sunflower oil and ghee', ' cinnamon stick', ' cardamom', ' bay leaf']"
Continental,Curried Couscous Recipe,"['couscous', ' spinach', ' green beans french beans', ' green peas', ' celery', ' onion', ' tomato', ' garlic', ' curd dahi', ' turmeric powder', ' curry powder', ' salt', ' paprika powder', ' extra virgin olive oil']"
Italian Recipes,Kale & Leeks Frittata Recipe,"['eggs', ' parmesan cheese', ' provolone cheese', ' thyme leaves', ' oregano', ' leek', ' extra virgin olive oil', ' garlic', ' onion', ' ricotta cheese', ' kale spinach', ' salt and pepper']"
Indian,Moong Sprouts And Sweet Potato Cutlet Recipe,"['green moong sprouts', ' sweet potato mashed', ' oats oatmeal', ' ginger garlic paste', ' turmeric powder haldi', ' red chilli powder', ' garam masala powder', ' cumin powder', ' dry mango powder', ' salt', ' sunflower oil']"
Indian,Croquettes Recipe With Bhetki Fish,"['fish bass', ' onion', ' onion', ' garlic', ' garlic', ' green chillies', ' bay leaves', ' cinnamon stick', ' cardamom', ' tomato ketchup', ' sugar', ' sunflower oil', ' salt', ' aloo boiled mashed', ' black pepper powder', ' salt', ' egg', ' all purpose flour', ' wheat bread crumbs', ' sunflower oil']"
Indian,Methi Pakoras Recipe,"['flour', ' rice flour', ' salt', ' fenugreek leaves', ' red chilli powder', ' asafoetida hing', ' turmeric powder haldi', ' carom seeds', ' coriander dhania seeds', ' sunflower oil']"
South Indian Recipes,Milagu Jeera Curry Leaf Sadam Recipe,"['rice', ' mustard seeds', ' white urad', ' raw peanuts', ' salt', ' black peppercorns', ' cumin seeds', ' curry leaves', ' sesame']"
North Indian Recipes,Healthy Vegetable Poha Cutlet Recipe -Vegetable Beaten Rice Patty,"['poha rice', ' aloo boiled', ' homemade cottage cheese', ' carrot', ' black pepper powder', ' garam masala powder', ' chaat masala', ' red chilli powder', ' ginger', ' green chilli', ' lemon juice', ' all purpose flour', ' coriander', ' wheat bread crumbs', ' sunflower oil', ' salt']"
Continental,Evergreen Smoothie Recipe,"['spinach leaves palak baby spinach', ' gourd', ' curd dahi yogurt', ' mint leaves', ' salt', ' carom seeds', ' amla', ' lemon juice']"
Continental,Chocolate Nutella Lava Cookies Recipe,"['all purpose flour', ' butter unsalted', ' sugar', ' brown sugar demerara sugar', ' eggs', ' cocoa powder unsweetened', ' baking soda', ' corn flour', ' salt', ' vanilla extract', ' nutella spread', ' chocolate chips']"
South Indian Recipes,Masala Vada Curry Recipe - Chana Dal Vada Curry Recipe,"['chana dal', ' red chilli', ' curry leaves', ' fennel seeds', ' sunflower oil', ' cinnamon stick', ' cloves', ' cardamom', ' black pepper corns', ' bay leaf', ' green chilli slit', ' curry leaves', ' onion', ' ginger', ' garlic', ' tomato puree', ' turmeric powder haldi', ' red chilli powder', ' coriander powder', ' salt', ' mint leaves']"
